make,model,years,n_rows,ymm_exact,ymm_family,ymm_crossmake,ymm_none,none_years
mercedesbenz,e-class-cabriolet,2009-2017 2019-2023,26,14,0,0,0,
mercedesbenz,c-class-amg,2008-2017 2019-2026,25,18,0,0,0,
mercedesbenz,s-class-amg,2000-2017 2019-2021 2023-2025,48,24,0,0,0,
mercedesbenz,s-class-coupe,2015-2017 2019-2021,12,6,0,0,0,
mercedesbenz,m-class-amg,2000-2015,32,12,4,0,0,
mercedesbenz,s-class,1990-2017 2019-2026,351,32,4,0,0,
mercedesbenz,glc,2016-2017 2019-2026,132,10,0,0,0,
mercedesbenz,gls,2017 2019-2026,70,9,0,0,0,
mercedesbenz,cla,2014-2017 2019-2026,125,12,0,0,0,
mercedesbenz,gla,2015-2017 2019-2026,78,11,0,0,0,
mercedesbenz,cl-class-amg,2001-2014,14,14,0,0,0,
mercedesbenz,gle-class-coupe,2016-2017 2019-2026,10,10,0,0,0,
mercedesbenz,glc-class-coupe,2016-2017 2019-2026,10,10,0,0,0,
mercedesbenz,cla45-amg,2018,1,0,1,0,0,
mercedesbenz,gla45-amg,2018,1,0,1,0,0,
mercedesbenz,gls63-amg,2018,1,0,1,0,0,
mercedesbenz,g63-amg,2018,1,0,1,0,0,
mercedesbenz,g65-amg,2018,1,0,1,0,0,
mercedesbenz,gle43-amg,2018,2,0,1,0,0,
mercedesbenz,gle63-amg-s,2018,2,0,1,0,0,
mercedesbenz,sprinter-2500,2018,2,1,0,0,0,
mercedesbenz,sprinter-3500,2018,1,1,0,0,0,
mercedesbenz,sprinter-3500xd,2018,2,1,0,0,0,
mercedesbenz,cls,2012-2017 2019-2023,33,11,0,0,0,
mercedesbenz,amg-gt-c,2018,1,1,0,0,0,
mercedesbenz,amg-gt-r,2018,1,1,0,0,0,
mercedesbenz,amg-gt-s,2018,1,1,0,0,0,
mercedesbenz,c43-amg,2018,2,0,1,0,0,
mercedesbenz,c63-amg,2018,3,0,1,0,0,
mercedesbenz,c63-amg-s,2018,3,0,1,0,0,
mercedesbenz,cls63-amg-s,2018,1,0,1,0,0,
mercedesbenz,e43-amg,2018,1,0,1,0,0,
mercedesbenz,glc43-amg,2018,1,0,1,0,0,
mercedesbenz,glc63-amg,2018,1,0,1,0,0,
mercedesbenz,glc63-amg-s,2018,1,0,1,0,0,
mercedesbenz,gle63-amg,2018,1,0,1,0,0,
mercedesbenz,maybach-s560,2018,1,1,0,0,0,
mercedesbenz,maybach-s650,2018,1,1,0,0,0,
mercedesbenz,s63-amg,2018,2,0,1,0,0,
mercedesbenz,s65-amg,2018,1,0,1,0,0,
mercedesbenz,sl63-amg,2018,1,0,1,0,0,
mercedesbenz,sl65-amg,2018,1,0,1,0,0,
